Title,Console,Genre,Publisher,Critic_Score,Total_Sales,NA_Sales,JP_Sales,PAL_Sales,Other_Sales,Release_Date
UFC 2009 Undisputed,X360,Fighting,THQ,8.4,2.07,1.48,0,0.39,0.19,5/19/2009
Spec Ops: Airborne Commando,PS,Shooter,Gotham Games,,2.07,1.54,,0.46,0.08,10/31/2002
Dance Dance Revolution: Hottest Party,Wii,Simulation,Konami,,2.07,1.35,,0.53,0.19,9/25/2007
Rise of the Tomb Raider,PS4,Adventure,Square Enix,,2.07,0.61,0.05,1.08,0.32,10/11/2016
The Sims 2: Pets,DS,Simulation,Electronic Arts,4.8,2.07,0.92,,0.93,0.22,10/31/2006
Call of Duty 2,X360,Shooter,Activision,8.8,2.06,1.84,0.01,0.04,0.16,11/17/2005
R4: Ridge Racer Type 4,PS,Racing,Namco,9.1,2.06,0.68,0.79,0.46,0.13,5/4/1999
The Incredibles,GBA,Action,THQ,5.4,2.06,1.15,0.04,0.77,0.1,10/31/2004
Toy Story 3: The Video Game,DS,Action,Disney Interactive Studios,,2.06,0.89,0.02,0.95,0.21,6/15/2010
Hitman: Absolution,PS3,Action,Square Enix,,2.06,0.59,0.07,1.08,0.32,11/20/2012
Tom Clancy's Splinter Cell: Conviction,X360,Action,Ubisoft,8.6,2.06,1.2,0.04,0.62,0.19,4/13/2010
Need for Speed: Undercover,PS3,Racing,Electronic Arts,5.9,2.06,0.63,0.05,1.01,0.38,11/17/2008
